PTU,n_selected_kmers,discrepancy_selected,discrepancy_others,wilcoxon_stat,p_value
PTU-BOKZ,4,-2.0881,-0.01615,-2.212288622,0.026946728773111734
PTU-Bac17,7,-0.1782,-0.0506,0.11733843402855873,0.9065918694288524
PTU-Bac18,7,0.6405,-0.0266,1.4446092451712722,0.14856767446616675
PTU-Bac37,11,0.24639999999999995,-0.0268,0.15631385319941588,0.8757856372895612
PTU-C,15,0.5303,-0.0143,1.1895282251948185,0.23423187093963604
PTU-Cam1,26,-0.0483,0.013699999999999879,-1.205033677,0.22819030122036255
PTU-E15,2,0.7661999999999998,-0.0301,0.8783231079901618,0.3797683989783903
PTU-E16,4,0.6986,-0.0228,0.5861040300175979,0.5578056082711872
PTU-E18,6,-0.53525,-0.0922,-0.272737844,0.785054742
PTU-E2,7,-1.0578,0.055500000000000105,-2.614146424,0.008945069
PTU-E21,2,-0.12455,-0.0149,-0.076584031,0.9389544628849285
PTU-E5,4,-0.79495,0.045,-1.214556617,0.22453524362788002
PTU-E81,6,-0.6292,-0.00785,-1.348460201,0.1775104125887902
PTU-E82,8,-1.07635,-0.0339,-2.015057944,0.043898578
PTU-E83,8,-0.482,0.03805,-0.644482499,0.5192626026584013
PTU-E84,2,-0.39685,-0.03315,-0.526515215,0.5985302837103887
PTU-FE,6,-1.15425,-0.03655,-2.014383565,0.043969279
PTU-FK,4,0.1618500000000002,0.0664,0.1566896612041266,0.8754894355932236
PTU-FS,6,0.9603000000000002,-0.0025,1.4716767901384562,0.14110817809067822
PTU-FSh,4,0.11280000000000001,-0.02095,0.2507034579266026,0.8020433870087258
PTU-FY,7,0.4129999999999998,-0.0098,-0.40459318,0.6857765727457412
PTU-HI1A,9,0.7679,-0.0105,2.0858444156236757,0.036992719
PTU-HI1B,4,0.93205,0.013799999999999923,0.831725661,0.4055638127931064
PTU-HI2,8,-0.21715,0.020099999999999965,-0.340843631,0.7332213024329061
PTU-I1,6,-1.9233,-0.0066,-2.964120421,0.003035495
PTU-I2,6,2.14955,0.023349999999999982,2.9378157560430895,0.003305334
PTU-LM,8,-1.1134,0.019850000000000034,-0.679286954,0.4969560607696718
PTU-Lab18,9,-0.5222,-0.0723,-0.535470507,0.5923245466756064
PTU-Lab50,9,-0.3894,-0.0332,-0.754526623,0.4505330653112616
PTU-N1,9,0.34840000000000004,0.023900000000000005,0.088867727,0.9291870323251905
PTU-Pse5,7,1.4304999999999999,-0.0962,1.2612278673998634,0.20722676107672955
PTU-R,2,0.2945,0.019699999999999968,0.4020661638756054,0.6876353336305083
PTU-X1,9,-0.5752,0.019500000000000073,-1.578675733,0.11441045379483628
PTU-X3,10,-0.87465,0.060349999999999994,-1.03797487,0.29928175461998385
PTU-X4,6,-0.71765,0.0523,-0.825135811,0.4092944907041658
PTU-Y,6,0.39219999999999994,-0.0093,0.4388725705304709,0.660753873
