PTU,discrepancy_selected,discrepancy_others,wilcoxon_stat,p_value
PTU-BOKZ,-4.94455,-0.03729999999999967,-3.104111557317259,0.001908513547081182
PTU-Bac16,0.0,0.0,-0.9110656913233987,0.3622607622023789
PTU-Bac17,-1.71775,-0.30015000000000014,-1.9564766830921936,0.05040902657841258
PTU-Bac18,-0.8622500000000006,-0.49489999999999995,-0.13418549239569907,0.8932558975508185
PTU-Bac20,0.0,0.0,-0.15085879891410073,0.8800871021402633
PTU-Bac37,-0.25399999999999967,-0.10794999999999988,-0.11186563478799844,0.9109299449970992
PTU-C,-19.85315,-0.06574999999999998,-6.184464984579543,6.231344231276705e-10
PTU-Cam1,-0.3748999999999998,-0.1302500000000002,-0.9268866882434156,0.3539853694403655
PTU-Cla2,-0.9001999999999999,-0.62195,0.2504192138754193,0.8022631723518521
PTU-E10,-4.3426,-0.6587999999999998,-4.760255645678627,1.9334789551449136e-06
PTU-E14,2.2672999999999996,0.32489999999999997,4.0582721527089864,4.94371350334067e-05
PTU-E15,-1.3994500000000003,-0.20494999999999997,-0.16492190728744913,0.8690054489877074
PTU-E16,-6.3078,0.09565000000000012,-5.954021776916267,2.616319670061452e-09
PTU-E18,-9.1045,-0.007049999999999834,-6.791469226679183,1.1099726286014306e-11
PTU-E1,3.0296000000000003,0.21960000000000002,3.214805266407479,0.001305330407532955
PTU-E21,-1.7850999999999997,-0.10269999999999957,-1.7063238159662695,0.08794780625849874
PTU-E2,-1.3834999999999997,-0.1358999999999999,-0.8806488925310428,0.3785078867068721
PTU-E3,-1.2397,-0.48075,-1.7727506952903809,0.0762700266393374
PTU-E4,-2.04345,-0.2945000000000002,-1.2829390229686448,0.19951343993307447
PTU-E5,-5.7865,-0.14919999999999964,-3.413926096330116,0.0006403394272879483
PTU-E76,0.603,0.34025,0.6192029232265208,0.5357826863497641
PTU-E7,-1.05645,-0.6236500000000003,-1.4734302182076364,0.1406350671380371
PTU-E81,1.1536999999999997,-0.12254999999999994,0.8100137345649068,0.41793228201357646
PTU-E82,1.1502999999999999,-0.13084999999999947,1.0188295861691705,0.30828387711965755
PTU-E83,0.22724999999999995,-0.11255000000000004,0.429564037585914,0.667512801826525
PTU-E84,2.8682999999999996,-0.5178499999999999,3.2097979475169685,0.0013282830592974205
PTU-E9,1.6033,0.36160000000000003,2.988623606736126,0.0028023712169614233
PTU-FE,-4.4246,-0.17909999999999981,-1.8150998284601232,0.06950856956194117
PTU-FK,8.03585,-0.30430000000000046,3.1714440155896546,0.0015168310215107296
PTU-FS,5.29475,-0.09974999999999978,2.3080543924259027,0.020996111406656696
PTU-FSh,0.8915,0.013299999999999979,1.1593541312028561,0.24631186543052352
PTU-FY,-5.517100000000001,0.035599999999999854,-5.1818292807796835,2.1972027866889754e-07
PTU-HI1A,-5.215900000000001,0.14454999999999985,-2.37975493739002,0.01732415493356229
PTU-HI1B,-3.31215,0.08909999999999996,-1.9473143549095575,0.051497058765937964
PTU-HI2,8.32875,-0.4373499999999999,3.5074670747528423,0.0004523943332356495
PTU-I1,-7.9432,-0.37110000000000043,-2.561296881845972,0.010428220022035342
PTU-I2,-12.32075,0.05964999999999998,-6.897635041027983,5.287537279680267e-12
PTU-LM,-5.83595,-0.056350000000000455,-2.930027321847174,0.0033893220185704474
PTU-Lab17,0.6910499999999997,-0.14934999999999987,2.010491803889827,0.044379162815662836
PTU-Lab18,0.31655000000000016,-0.06109999999999971,0.005646551089298968,0.9954947280047458
PTU-Lab37,1.1592500000000001,0.44815,0.9013706696417721,0.36739127070181055
PTU-Lab50,0.30774999999999997,-0.30625,1.2061778897641182,0.22774890724218178
PTU-N1,-8.303650000000001,0.23150000000000004,-4.482509255304996,7.377044222719974e-06
PTU-Pse5,-3.8739999999999997,-0.11839999999999995,-3.4237276567115407,0.0006176849002657858
PTU-Pse7,0.9379500000000001,-0.33265,2.0506568937137084,0.04030037161721428
PTU-R,0.9459500000000003,-0.49695000000000045,0.26304404980149343,0.7925166274056181
PTU-X1,-3.7569000000000004,-0.17405000000000026,-2.845009439408295,0.004441010697769925
PTU-X3,-11.377749999999999,-0.11129999999999995,-5.7217674113564225,1.0542156545076443e-08
PTU-X4,-2.35895,-0.11955000000000005,-1.9483797419075384,0.0513695419675445
PTU-Y,-4.235900000000001,-0.06769999999999987,-3.041040647036788,0.0023576200100865283
