PTU,n_selected_kmers,discrepancy_selected,discrepancy_others,wilcoxon_stat,p_value
PTU-BOKZ,21,-1.3969,-0.07050000000000001,-0.8370565125529912,0.4025608030948604
PTU-Bac16,4,2.94025,0.0,0.7157480797848554,0.4741469169641295
PTU-Bac17,0,None,-0.3751,None,None
PTU-Bac18,0,None,-0.50685,None,None
PTU-Bac20,10,0.0,0.0,0.287147976865603,0.7739990180031678
PTU-Bac37,9,2.1707,-0.13589999999999947,0.21036898679978794,0.83337969599597
PTU-C,48,-9.134899999999998,-0.24989999999999934,-3.0937330868821475,0.001976552220380272
PTU-Cam1,21,-2.9151,-0.11750000000000016,-1.9742841360833783,0.04834944371144184
PTU-Cla2,0,None,-0.635,None,None
PTU-E10,28,-5.3449,-0.7021999999999998,-3.142437618256907,0.0016754741122981872
PTU-E14,29,3.8063,0.3513,3.6760418354296385,0.00023688069354511592
PTU-E15,9,-0.6935000000000002,-0.20689999999999986,0.35569430967288085,0.7220695069371671
PTU-E16,21,-8.6871,0.025899999999999923,-3.343693420184879,0.0008267104207115378
PTU-E18,30,-7.960700000000001,-0.06099999999999972,-3.5870396804882962,0.0003344534437815573
PTU-E1,40,3.77665,0.22250000000000003,3.3182208562232964,0.0009059282233505717
PTU-E21,9,-8.391399999999999,-0.15739999999999998,-1.1935018506635855,0.2326728878003077
PTU-E2,12,-1.4434999999999998,-0.14365000000000006,-0.42195383917419177,0.6730587110486258
PTU-E3,54,-1.4089999999999998,-0.4829499999999999,-0.5646094352249222,0.5723394462294854
PTU-E4,37,-2.5471000000000004,-0.3092000000000006,-0.7520960081041711,0.4519933243897212
PTU-E5,20,-8.17005,-0.1871000000000005,-1.2900825482698526,0.1970219984952295
PTU-E76,48,0.48009999999999997,0.3476,0.16218832477860612,0.8711575535500314
PTU-E7,29,-1.5518,-0.6216000000000004,-1.4137955727936298,0.15742193384439274
PTU-E81,27,2.8735,-0.12119999999999997,0.32484475392280854,0.7452985710460269
PTU-E82,39,0.7362000000000002,-0.12220000000000031,0.639674847295845,0.5223840111267584
PTU-E83,29,2.2461,-0.13180000000000014,1.0029651588970692,0.31587767201361006
PTU-E84,9,6.4261,-0.4908000000000001,2.6148681638903217,0.008926190218487735
PTU-E9,30,1.2689,0.37345,2.141516227157192,0.032232431309837946
PTU-FE,43,-7.2689,-0.1653,-1.3616614777073566,0.17330474378651572
PTU-FK,23,14.3325,-0.30079999999999973,3.2415909534445224,0.0011886449746263748
PTU-FS,15,7.4412,-0.021100000000000563,0.6147694867739283,0.538706963019881
PTU-FSh,21,2.785999999999998,0.010399999999999965,1.2044770527077575,0.22840524618749292
PTU-FY,12,-10.06355,-0.03905000000000003,-2.0623421710738596,0.03917517075930797
PTU-HI1A,32,1.2769500000000003,0.09055000000000013,0.598345512054068,0.5496094146429079
PTU-HI1B,26,0.5662,0.06740000000000002,-0.09832438605686715,0.9216747147278743
PTU-HI2,47,7.953899999999997,-0.389,2.9656130756860186,0.003020802739419509
PTU-I1,30,-8.95365,-0.4196500000000003,-1.6651760764856138,0.09587763240713644
PTU-I2,30,-13.5315,-0.009899999999999916,-5.788137165919146,7.1171284632193915e-09
PTU-LM,45,-5.444299999999999,-0.06510000000000002,-1.8627502470661723,0.06249741286703196
PTU-Lab17,2,2.48955,-0.12154999999999977,0.654911841837738,0.5125245155160115
PTU-Lab18,2,-5.86615,-0.055300000000000016,-1.2960675445318524,0.19495221537900498
PTU-Lab37,2,5.58855,0.45045,1.370829170312416,0.17042821533062558
PTU-Lab50,2,2.3978500000000005,-0.30374999999999985,0.3690233848528624,0.7121102944338578
PTU-N1,45,-11.4796,0.2237,-4.105072854027527,4.04187478680262e-05
PTU-Pse5,8,3.6819499999999996,-0.2017,0.761332397406465,0.44645855458107553
PTU-Pse7,8,6.5474499999999995,-0.31974999999999976,1.7486105338231033,0.08035836421412847
PTU-R,33,0.8152000000000008,-0.4894,0.2851819556283553,0.775504743936244
PTU-X1,28,-5.4297499999999985,-0.2550000000000002,-2.398941993168338,0.01644251918646841
PTU-X3,43,-13.0734,-0.18459999999999965,-4.713992048663184,2.429101458083937e-06
PTU-X4,33,-4.580699999999999,-0.13849999999999962,-2.3895720485210856,0.016868014990276972
PTU-Y,27,-7.821300000000001,-0.07759999999999945,-2.7732222784629013,0.005550419416047116
