ID	PTU	mobility	oriT Family	oriT	oriT_start	oriT_end	oriT_strand	MOB	MOB_start	MOB_end	MOB_strand	Leading Region
NC_007365.1	PTU-BOKZ	Conjugative	R64	p838BR	63758	63830	1	MOBP1	60682	63393	-1	From 63830 in downstream direction.
NC_014477.1	PTU-BOKZ	Conjugative	R64	pKL1	32146	32065	-1	MOBP1	32505	35225	1	From 32065 in upstream direction.
NC_014843.1	PTU-BOKZ	Conjugative	R64	p838BR	89770	89842	1	MOBP1	86694	89405	-1	From 89842 in downstream direction.
NC_018995.1	PTU-BOKZ	Conjugative	R64	p838BR	26990	26918	-1	MOBP1	27355	30066	1	From 26918 in upstream direction.
NC_022371.1	PTU-BOKZ	Conjugative	R64	p838BR	26865	26793	-1	MOBP1	27230	29941	1	From 26793 in upstream direction.
NC_022992.1	PTU-BOKZ	Conjugative	R64	p838BR	50764	50692	-1	MOBP1	51129	53840	1	From 50692 in upstream direction.
NC_022996.1	PTU-BOKZ	Conjugative	R64	p838BR	60345	60273	-1	MOBP1	60710	63421	1	From 60273 in upstream direction.
NC_025138.1	PTU-BOKZ	Conjugative	R64	p838BR	25771	25699	-1	MOBP1	26136	28847	1	From 25699 in upstream direction.
NC_025145.1	PTU-BOKZ	Conjugative	R64	pKL1	8104	8023	-1	MOBP1	8463	11183	1	From 8023 in upstream direction.
NC_032099.1	PTU-BOKZ	Conjugative	R64	pKL1	24189	24108	-1	MOBP1	24548	27268	1	From 24108 in upstream direction.
NZ_AP017613.1	PTU-BOKZ	Conjugative	R64	p838BR	79376	79304	-1	MOBP1	79741	82452	1	From 79304 in upstream direction.
NZ_AP018797.1	PTU-BOKZ	Conjugative	R64	p838BR	55901	55829	-1	MOBP1	56266	58977	1	From 55829 in upstream direction.
NZ_AP018803.1	PTU-BOKZ	Conjugative	R64	p838BR	57670	57598	-1	MOBP1	58035	60746	1	From 57598 in upstream direction.
NZ_AP019762.1	PTU-BOKZ	Conjugative	R64	p838BR	52529	52457	-1	MOBP1	52894	55605	1	From 52457 in upstream direction.
NZ_CP005999.1	PTU-BOKZ	Conjugative	R64	p838BR	41619	41691	1	MOBP1	38543	41254	-1	From 41691 in downstream direction.
NZ_CP009052.1	PTU-BOKZ	Conjugative	R64	pKL1	28077	27996	-1	MOBP1	28436	31156	1	From 27996 in upstream direction.
NZ_CP009105.1	PTU-BOKZ	Conjugative	R64	pKL1	154461	154542	1	MOBP1	151382	154102	-1	From 154542 in downstream direction.
NZ_CP009107.1	PTU-BOKZ	Conjugative	R64	p838BR	53135	53207	1	MOBP1	50059	52770	-1	From 53207 in downstream direction.
NZ_CP013024.1	PTU-BOKZ	Conjugative	R64	p838BR	91030	90958	-1	MOBP1	91395	94106	1	From 90958 in upstream direction.
NZ_CP015141.1	PTU-BOKZ	Conjugative	R64	p838BR	79409	79337	-1	MOBP1	79774	82485	1	From 79337 in upstream direction.
NZ_CP019253.1	PTU-BOKZ	Conjugative	R64	p838BR	45166	45238	1	MOBP1	42081	44801	-1	From 45238 in downstream direction.
NZ_CP022458.1	PTU-BOKZ	Conjugative	R64	pKL1	50178	50259	1	MOBP1	47099	49819	-1	From 50259 in downstream direction.
NZ_CP022673.1	PTU-BOKZ	Conjugative	R64	p838BR	82370	82442	1	MOBP1	79294	82005	-1	From 82442 in downstream direction.
