ID	AccINSDC	Name	Assembly	BioSample	BioProject	Date	TaxId	Lineage	SuperKingdom	Phylum	Class	Order	Family	Genus	Species	Size	MolecularType	AnnotDate	Topology	MOB_60	MPF	PFinder_60	PTU	HRange
NZ_CP017055.1	CP017055.1	pPS1	GCF_001888205.1	SAMN05629093	PRJNA340005	2016-12-02	588	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia stuartii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia stuartii	195378	Plasmid	12-FEB-2020	circular	MOBH	typeF;typeT	IncA/C2	PTU-C	V
NZ_CP041271.1	CP041271.1	pVVEswe-S1	GCF_007917315.1	SAMN12138986	PRJNA551094	2019-08-08	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	194167	Plasmid	12-AUG-2019	circular	MOBP	-	repUS15	PTU-Lab50	I
NZ_CP041273.1	CP041273.1	pVVEswe-S3	GCF_007917315.1	SAMN12138986	PRJNA551094	2019-08-08	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	65253	Plasmid	12-AUG-2019	circular	MOBP	-	rep17	PTU-Lab18	I
NZ_CP041274.1	CP041274.1	pVVEswe-S5	GCF_007917315.1	SAMN12138986	PRJNA551094	2019-08-08	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	6173	Plasmid	12-AUG-2019	circular	MOBP	-	rep11	PTU-Lab17	I
NZ_CP041276.1	CP041276.1	pVVEswe-S7	GCF_007917315.1	SAMN12138986	PRJNA551094	2019-08-08	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	4372	Plasmid	12-AUG-2019	linear	MOBV	-	-	PTU-Lab37	V
NZ_CP024522.1	CP024522.1	unnamed1	GCF_002753055.1	SAMEA3357080	PRJNA351909	2017-11-06	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	221606	Plasmid	21-DEC-2019	circular	-	-	IncA/C2	PTU-C	V
NZ_CP024523.1	CP024523.1	unnamed2	GCF_002753055.1	SAMEA3357080	PRJNA351909	2017-11-06	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	147932	Plasmid	21-DEC-2019	circular	MOBF	typeF	IncFIB(K);IncFII(K)	PTU-FK	III
NZ_CP024524.1	CP024524.1	unnamed3	GCF_002753055.1	SAMEA3357080	PRJNA351909	2017-11-06	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	89345	Plasmid	21-DEC-2019	circular	-	-	IncFIA(HI1);IncR	PTU-R	III
NZ_CP024527.1	CP024527.1	unnamed6	GCF_002753055.1	SAMEA3357080	PRJNA351909	2017-11-06	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	3825	Plasmid	21-DEC-2019	circular	-	-	-	PTU-E76	VI
NZ_CP039562.1	CP039562.1	p08-5333.1	GCF_004919145.1	SAMN11333141	PRJNA316728	2019-04-28	2583588	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	178506	Plasmid	03-FEB-2020	circular	MOBF;MOBH	typeF	IncA/C2	PTU-C	V
